Frame Index,Pillar Index,X,Y,DX,DY,DIS
1,2498,41337.634,32823.124,111.363,-161.919,196.519
1,2503,41523.929,30973.121,168.509,-5.244,168.591
1,2504,41450.554,31735.310,157.056,-247.105,292.792
1,2511,41617.470,29110.081,129.435,126.839,181.222
1,2514,41548.543,28035.532,-6.845,54.584,55.011
1,2548,42329.604,33897.080,170.268,-149.967,226.895
1,2549,42073.104,35071.217,-23.983,19.382,30.836
1,2554,42334.565,32873.201,109.910,-180.506,211.336
1,2559,42260.162,32250.474,-31.548,199.531,202.010
1,2563,42309.315,31064.846,-49.694,16.602,52.394
1,2566,42320.878,30011.907,-103.620,-43.375,112.332
1,2570,42379.642,29022.137,-112.263,-30.773,116.405
1,2574,42538.962,27912.647,-20.394,-137.789,139.290
1,2599,43031.088,36151.647,3.182,26.826,27.014
1,2603,43295.530,35057.238,200.253,-63.665,210.129
1,2607,43035.696,34126.282,-126.852,8.778,127.156
1,2613,42682.653,33161.421,-545.376,37.267,546.648
1,2616,43239.346,32183.066,-55.939,61.790,83.350
1,2619,43306.676,30989.273,-55.953,-129.179,140.776
1,2623,43400.868,30185.917,-27.395,60.581,66.487
1,2627,43537.292,29161.512,41.568,38.631,56.747
1,2631,43430.588,28236.707,-132.671,116.421,176.509
1,2634,43651.307,26198.580,-38.765,75.847,85.179
1,2635,43477.144,26949.329,-153.474,-169.154,228.402
1,2652,43964.640,37197.581,1.076,-1.852,2.142
1,2657,44053.485,36107.125,22.436,-88.241,91.048
1,2661,43887.991,35262.048,-210.509,70.560,222.019
1,2665,44103.446,34254.487,-62.439,66.402,91.147
1,2670,44244.617,33145.301,13.150,-49.317,51.040
1,2674,44292.523,32341.912,-6.362,150.180,150.315
1,2678,44318.081,31185.720,-48.175,-3.127,48.276
1,2681,44478.578,29310.668,-15.148,119.264,120.223
1,2682,44482.892,30211.182,50.923,15.687,53.285
1,2685,44646.685,28131.661,85.709,-57.066,102.969
1,2688,44602.474,27185.606,-25.994,-1.211,26.022
1,2691,44603.103,25963.220,-90.864,-229.364,246.707
1,2695,44763.668,25304.615,2.451,113.664,113.690
1,2709,45026.566,37193.349,58.068,-66.471,88.263
1,2713,45057.832,36377.373,23.499,111.637,114.084
1,2718,44971.045,35402.420,-130.803,140.488,191.953
1,2723,45532.818,34138.893,363.514,-119.746,382.730
1,2728,45246.200,32387.161,-50.705,126.595,136.372
